Name,Symbol,Price,24h Change (%),7d Change (%),Market Cap,Volume (24h),Circulating Supply
MX Token,MX,2.1527003317628903,-1.73446714,6.02034977,199031857.22554648,22046658.98083561,92456834.0
Kusama,KSM,11.47920265070199,-7.1025176,25.20326863,198748485.7283434,17283701.84044467,17313788.402907
Qtum,QTUM,1.8706316288550269,-4.30883908,11.06055332,198076536.53049272,52139311.15085353,105887516.0
AIOZ Network,AIOZ,0.1620466247432113,-7.55755518,19.45316778,197071008.2393969,15824158.86047527,1216137692.1715422
Kamino Finance,KMNO,0.060729617467377664,-4.17674401,5.15497202,195499461.48035362,18197566.41749339,3219178213.75
Terra Classic,LUNC,3.550423301414626e-05,-5.82252642,-4.15951026,195051083.16934407,10564858.5815054,5493741636148.799
SuperVerse,SUPER,0.2993047190370583,-7.957424,1.57824516,190705780.88062957,10596706.78450993,637162626.4169173
Linea,LINEA,0.012239234725346375,-5.98394547,7.09301733,189489641.5886667,76154528.47190143,15482147850.0
Sahara AI,SAHARA,0.07783233440120961,-1.26057131,0.28696682,185013944.95143023,23918367.66698362,2377083334.0
Lombard,BARD,0.8174366056903801,1.49319649,19.74576056,183923236.28033552,30106514.56401645,225000000.0
Prom,PROM,10.054459994532712,11.77268149,-5.94938542,183493894.900222,6561443.727162,18250000.0
Akash Network,AKT,0.6395544476600701,-8.11970587,11.959883,180389787.97696337,7722130.52073692,282055403.784546
Mina,MINA,0.1394720401148144,-11.85789814,2.87915285,175906519.04252222,40283257.2817587,1261231418.8400393
SafePal,SFP,0.346386892960492,-4.12475533,6.22974622,173193446.480246,3870227.46938294,500000000.0
0x Protocol,ZRX,0.20321854941574505,-4.55546805,6.0403966,172409918.84130213,30754819.69216082,848396562.8973439
Useless Coin,USELESS,0.17115482557346556,-19.10381611,11.00579912,170999160.05467665,45018714.57054055,999090498.802664
Axelar,AXL,0.15982117942759358,-6.66305623,4.6543341,170785347.03580236,8999737.28093185,1068602719.911575
Four,FORM,0.4402847453994991,-5.22364319,2.19463887,168130327.20773432,26022772.66096977,381867255.144574
Dog (Bitcoin),DOG,0.0016733329261474578,-5.49175229,15.73748512,167333292.61474577,5855898.68027941,100000000000.0
Movement,MOVE,0.05910180605334742,-8.76278881,12.77657343,165485056.94937277,24553896.47719485,2800000000.0
Theta Fuel,TFUEL,0.022949414793295316,-3.00734084,10.58154101,163588475.03932673,2752587.11564061,7128219892.0
yearn.finance,YFI,4794.614764903879,-3.61676502,10.12621149,162776865.527602,18949577.59970409,33949.93623244
DigiByte,DGB,0.008993638068102449,-6.99650041,-2.44746458,161855606.53380227,6790154.52640613,17996677796.925385
